gene	mean	median	longest_isoform	merged
ENSMUSG00000104478	2756	2756	2756	2756
ENSMUSG00000104385	663	663	663	663
ENSMUSG00000101231	178	178	178	178
ENSMUSG00000102135	626	626	626	626
ENSMUSG00000103282	30	30	30	30
ENSMUSG00000101097	1869	1869	1869	1869
ENSMUSG00000100764	242	242	269	458
ENSMUSG00000102534	325	325	325	325
ENSMUSG00000100831	1127	1127	1127	1127
ENSMUSG00000100884	187	187	187	187
ENSMUSG00000100635	612	612	612	612
ENSMUSG00000102213	159	159	159	159
ENSMUSG00000100480	499	499	499	499
ENSMUSG00000089037	130	130	130	130
ENSMUSG00000103629	641	641	641	641
ENSMUSG00002076531	285	285	285	285
ENSMUSG00000100025	1723	1723	1723	1723
ENSMUSG00000051285	2390	1906	5232	6654
ENSMUSG00000098201	388	388	388	388
ENSMUSG00000103509	4028	4028	4028	4028
ENSMUSG00000048538	1299	1299	1299	1299
ENSMUSG00000103709	178	178	178	178
ENSMUSG00000077244	130	130	130	130
ENSMUSG00000102768	1012	1012	1012	1012
ENSMUSG00000097797	1195	912	2703	4339
ENSMUSG00000103498	1124	1124	1124	1124
ENSMUSG00000103067	2596	2596	2596	2596
ENSMUSG00000102320	286	286	286	286
ENSMUSG00000104226	2095	2095	2095	2095
ENSMUSG00000103903	881	881	881	881
ENSMUSG00000103557	1214	1214	1214	1214
ENSMUSG00000026312	2906	3353	4945	10037
ENSMUSG00000100290	538	538	538	538
ENSMUSG00000100758	928	928	928	928
ENSMUSG00000099926	813	813	813	813
ENSMUSG00000039748	1346	663	7796	8422
ENSMUSG00000118715	107	107	107	107
ENSMUSG00000104158	1559	1559	1789	1799
ENSMUSG00000103540	1944	1944	1944	1944
ENSMUSG00000057363	1242	662	4620	5097
ENSMUSG00000047216	2350	2350	3914	4280
ENSMUSG00000102788	2996	2996	2996	2996
ENSMUSG00000102160	2759	2759	2759	2759
ENSMUSG00000101253	581	581	581	581
ENSMUSG00000101846	781	781	781	781
ENSMUSG00000090243	1279	1279	1279	1279
ENSMUSG00000100701	545	545	545	545
ENSMUSG00000100555	1977	1977	1977	1977
ENSMUSG00000101395	816	816	816	816
ENSMUSG00000102728	402	402	402	402
ENSMUSG00000088848	125	125	125	125
ENSMUSG00002075225	110	110	110	110
ENSMUSG00000038702	2562	1934	5759	5763
ENSMUSG00000101875	574	574	574	574
ENSMUSG00000099732	7214	7214	7214	7214
ENSMUSG00000101220	838	838	838	838
ENSMUSG00000100020	665	665	665	665
ENSMUSG00000101054	669	669	669	669
ENSMUSG00000088691	136	136	136	136
ENSMUSG00000099884	2144	2144	2144	2144
ENSMUSG00000100304	722	722	722	722
ENSMUSG00000101453	571	571	571	571
ENSMUSG00000102105	538	538	538	538
ENSMUSG00000099943	736	736	736	736
ENSMUSG00002075119	134	134	134	134
ENSMUSG00000097648	1009	1009	1009	1009
ENSMUSG00000101687	574	574	574	574
ENSMUSG00000055214	2926	3278	4215	10094
ENSMUSG00000078184	1338	1338	1338	1338
ENSMUSG00000104363	1645	1645	1645	1645
ENSMUSG00000103277	2435	2435	2435	2435
ENSMUSG00000104157	3557	3557	3557	3557
ENSMUSG00000102446	517	517	517	517
ENSMUSG00000104248	3566	3566	3566	3566
ENSMUSG00000104021	959	959	959	959
ENSMUSG00000103471	594	594	594	594
ENSMUSG00000087875	108	108	108	108
ENSMUSG00000033007	2565	2565	2667	2727
ENSMUSG00000070695	10945	10945	10945	10945
ENSMUSG00000025909	2733	2944	4887	10908
ENSMUSG00002076179	72	72	72	72
ENSMUSG00000102033	400	400	400	400
ENSMUSG00000102647	2532	2532	2532	2532
ENSMUSG00000086235	400	400	400	400
ENSMUSG00000102253	3534	3534	3534	3534
ENSMUSG00002074990	110	110	110	110
ENSMUSG00000094429	3030	3030	3030	3030
ENSMUSG00000103884	1164	1164	1164	1164
ENSMUSG00000084353	240	240	240	240
ENSMUSG00000103933	198	198	198	198
ENSMUSG00002075967	110	110	110	110
ENSMUSG00000086195	340	340	340	340
ENSMUSG00000104504	340	340	340	340
ENSMUSG00000066693	626	626	626	626
ENSMUSG00000102316	1050	1050	1050	1050
ENSMUSG00000103819	518	518	518	518
ENSMUSG00000102871	3259	3259	3259	3259
ENSMUSG00000101571	960	960	960	960
ENSMUSG00000104428	636	636	636	636
ENSMUSG00000102272	1170	1170	1170	1170
ENSMUSG00000065625	103	103	103	103
ENSMUSG00000103411	1406	1406	1406	1406
ENSMUSG00000061024	2048	2048	2048	2048
ENSMUSG00000102030	4012	4012	4012	4012
ENSMUSG00000025911	1641	2021	3239	3780
ENSMUSG00000081441	1102	1102	1102	1102
ENSMUSG00000067879	3256	3256	3256	3256
ENSMUSG00000099827	1067	1067	1067	1067
ENSMUSG00000057335	3539	3051	6967	18049
ENSMUSG00000103634	1419	1419	1419	1419
ENSMUSG00000104154	1895	1895	1895	1895
ENSMUSG00000103435	428	428	428	428
ENSMUSG00000065573	99	99	99	99
ENSMUSG00002076271	265	265	265	265
ENSMUSG00000100551	241	241	241	241
ENSMUSG00000100357	687	687	687	687
ENSMUSG00000025912	1902	799	4980	5402
ENSMUSG00000045210	9749	9749	9749	9749
ENSMUSG00000041763	2605	2662	4994	10078
ENSMUSG00000026504	2041	2163	2971	4129
ENSMUSG00000103367	339	339	339	339
ENSMUSG00000103584	160	160	160	160
ENSMUSG00002076339	80	80	80	80
ENSMUSG00000102475	835	835	835	835
ENSMUSG00000047343	1720	1086	3482	4300
ENSMUSG00000102211	724	724	724	724
ENSMUSG00000087082	1430	1430	1430	1430
ENSMUSG00000090106	180	180	180	180
ENSMUSG00000103251	2210	2210	2210	2210
ENSMUSG00000091844	13010	13010	20036	20036
ENSMUSG00000026483	3118	3245	6531	7380
ENSMUSG00000082528	1676	1676	1676	1676
ENSMUSG00000082012	790	790	790	790
ENSMUSG00000099996	487	487	487	487
ENSMUSG00000101763	400	400	400	400
ENSMUSG00000100827	675	675	675	675
ENSMUSG00000100553	1804	1804	2004	2188
ENSMUSG00000098611	84	84	84	84
ENSMUSG00000100534	2456	2456	2456	2456
ENSMUSG00000102904	3766	3766	3766	3766
ENSMUSG00002076350	94	94	94	94
ENSMUSG00000019699	2850	3123	4906	5124
ENSMUSG00000104391	1897	1897	1897	1897
ENSMUSG00000102133	1532	1532	1532	1532
ENSMUSG00000102749	1301	1301	1301	1301
ENSMUSG00000103163	1293	1293	1293	1293
ENSMUSG00000103646	2765	2765	2765	2765
ENSMUSG00000102427	796	796	796	796
ENSMUSG00000103633	317	317	317	317
ENSMUSG00000097892	914	914	1219	1791
ENSMUSG00000063659	1691	597	4944	6138
ENSMUSG00000102432	856	856	1257	1258
ENSMUSG00000103043	1233	1233	1233	1233
ENSMUSG00000102885	375	375	375	375
ENSMUSG00000026049	823	935	1360	1926
ENSMUSG00000103767	1231	1231	1231	1231
ENSMUSG00000043019	3957	3194	6327	6381
ENSMUSG00000101104	546	546	571	676
ENSMUSG00000015962	768	768	768	768
ENSMUSG00000032666	3428	1691	9559	11788
ENSMUSG00000084557	133	133	133	133
ENSMUSG00000100685	406	406	406	406
ENSMUSG00000102090	805	805	805	805
ENSMUSG00000103744	346	346	346	346
ENSMUSG00000015961	2191	2069	2771	4531
ENSMUSG00000089657	610	610	610	610
ENSMUSG00000102483	3435	3435	3435	3435
ENSMUSG00000014980	912	698	2418	4195
ENSMUSG00000026235	3423	3466	6328	8054
ENSMUSG00000099141	116	116	116	116
ENSMUSG00000032649	3730	3730	4093	4245
ENSMUSG00000101849	1849	1849	1849	1849
ENSMUSG00000101506	292	292	292	292
ENSMUSG00000065215	164	164	164	164
ENSMUSG00000102052	854	854	854	854
ENSMUSG00000026047	1820	2031	2359	3199
ENSMUSG00000080878	452	452	452	452
ENSMUSG00000091476	3093	3439	3494	5260
ENSMUSG00000104097	290	290	290	290
ENSMUSG00000119789	107	107	107	107
ENSMUSG00000102493	873	873	873	873
ENSMUSG00000004872	3404	3271	3863	6187
ENSMUSG00000118426	745	745	745	745
ENSMUSG00000041684	1438	523	3570	4206
ENSMUSG00000032908	4002	4002	4002	4002
ENSMUSG00000099561	1450	1450	1450	1450
ENSMUSG00000102945	818	818	818	818
ENSMUSG00000026502	3318	1891	8802	9156
ENSMUSG00000103958	903	903	903	903
ENSMUSG00000104126	405	405	405	405
ENSMUSG00000026500	570	570	670	883
ENSMUSG00000026048	1852	1060	4239	5864
ENSMUSG00000046828	2384	2384	3211	3961
ENSMUSG00000089703	957	957	957	957
ENSMUSG00000100966	989	989	989	989
ENSMUSG00000100769	1108	1108	1108	1108
ENSMUSG00000101567	309	309	309	309
ENSMUSG00000026245	1211	970	2036	2620
ENSMUSG00000101798	261	261	261	261
ENSMUSG00000104018	1479	1479	1479	1479
ENSMUSG00000090486	3033	3033	3063	3310
ENSMUSG00000026482	2545	2287	5092	6907
ENSMUSG00000086145	1133	1133	1133	1133
ENSMUSG00000080950	1401	1401	1401	1401
ENSMUSG00000099868	419	419	419	419
ENSMUSG00000055547	1566	1566	1566	1566
ENSMUSG00000012187	798	797	1228	1558
ENSMUSG00000008475	1466	1737	1914	2276
ENSMUSG00000099364	2091	2091	2091	2091
ENSMUSG00000100562	1011	1011	1011	1011
ENSMUSG00000056870	1849	2098	3138	3758
ENSMUSG00000102319	4563	4563	4563	4563
ENSMUSG00000089877	420	420	420	420
ENSMUSG00000101701	905	905	905	905
ENSMUSG00000103071	1551	1551	1551	1551
ENSMUSG00000100434	528	528	528	528
ENSMUSG00000100013	667	667	667	667
ENSMUSG00000101251	745	745	745	745
ENSMUSG00000101937	940	940	940	940
ENSMUSG00000039630	1906	869	7640	11599
ENSMUSG00000104279	1870	1870	1870	1870
ENSMUSG00002075531	121	121	121	121
ENSMUSG00000064954	106	106	106	106
ENSMUSG00000026495	1551	667	3580	4151
ENSMUSG00000032883	1704	742	3950	4357
ENSMUSG00000026480	2084	1641	4661	8478
ENSMUSG00000026494	7366	6216	13749	14696
ENSMUSG00000064967	167	167	167	167
ENSMUSG00000102922	474	474	474	474
ENSMUSG00000025915	2958	3505	3779	14311
ENSMUSG00000089713	3010	3010	3010	3010
ENSMUSG00000079470	5539	5539	7393	7679
ENSMUSG00000099377	1724	1724	1724	1724
ENSMUSG00000099706	3283	3283	3283	3283
