gene	mean	median	longest_isoform	merged
ENSG00000142611	3278	3730	8698	9767
ENSG00000284616	1225	1225	1225	1225
ENSG00000157911	1473	907	2905	3782
ENSG00000260972	1697	1697	1697	1697
ENSG00000224340	337	337	337	337
ENSG00000229280	372	372	372	372
ENSG00000142655	903	721	1922	2932
ENSG00000232596	1057	1101	1531	3328
ENSG00000231510	449	449	449	449
ENSG00000149527	4410	4853	6986	10809
ENSG00000171621	1593	1223	3106	3389
ENSG00000272235	3461	3461	3461	3461
ENSG00000284694	3402	3402	3402	3402
ENSG00000224387	455	455	455	455
ENSG00000142583	1201	756	4085	6632
ENSG00000284674	1580	1580	1580	1580
ENSG00000224338	565	565	565	565
ENSG00000287727	2876	2876	2876	2876
ENSG00000173614	1529	1094	3734	4610
ENSG00000215720	710	710	710	710
ENSG00000241326	436	436	436	436
ENSG00000233623	680	680	680	680
ENSG00000204624	2556	1495	5265	6120
ENSG00000142606	1157	554	2879	3870
ENSG00000225931	1297	1297	1297	1297
ENSG00000171729	1704	1852	1971	2238
ENSG00000229393	514	514	514	514
ENSG00000287586	2992	2992	3030	3225
ENSG00000227169	356	356	356	356
ENSG00000283356	135	135	135	135
ENSG00000157916	1436	695	3028	5689
ENSG00000157881	1128	723	2641	5072
ENSG00000225387	491	491	491	491
ENSG00000048707	3933	1303	16357	20768
ENSG00000225196	316	316	316	316
ENSG00000162444	743	743	861	862
ENSG00000279625	1853	1853	1853	1853
ENSG00000180758	1951	458	5197	5304
ENSG00000184677	5983	8368	8992	9169
ENSG00000285833	1051	1051	1051	1051
ENSG00000131697	3293	3967	5548	13167
ENSG00000280222	6473	6473	6473	6473
ENSG00000285945	593	593	593	593
ENSG00000197921	1324	1324	1324	1324
ENSG00000284666	609	609	609	609
ENSG00000228943	235	235	235	235
ENSG00000234397	492	492	492	492
ENSG00000204138	2327	1853	6048	7317
ENSG00000233419	402	402	402	402
ENSG00000225011	349	349	349	349
ENSG00000284676	1953	1953	1953	1953
ENSG00000090020	2054	1535	4737	6195
ENSG00000158006	1240	748	3487	3795
ENSG00000214812	557	557	557	557
ENSG00000196581	4927	2383	12102	12528
ENSG00000169403	3241	3993	4191	4208
ENSG00000171612	3865	3865	3865	3865
ENSG00000270927	493	493	493	493
ENSG00000188910	1994	1994	2192	2362
ENSG00000230523	2148	2148	2148	2148
ENSG00000158161	3168	2132	5999	6424
ENSG00000233234	607	607	607	607
ENSG00000189337	3418	3643	6874	13860
ENSG00000028137	2059	2070	3687	3778
ENSG00000283259	1565	1565	1565	1565
ENSG00000130939	2356	1050	6184	9237
ENSG00000175147	4038	3023	7100	11973
ENSG00000127472	1202	1028	1918	3342
ENSG00000060656	2479	1590	5573	6682
ENSG00000230214	523	523	523	523
ENSG00000189280	1355	1355	1355	1355
ENSG00000134698	2697	522	7272	7423
ENSG00000272420	568	568	568	568
ENSG00000273274	12831	12831	12831	12831
ENSG00000236648	819	821	1025	1328
ENSG00000232273	532	532	532	532
ENSG00000130940	2272	695	7934	11336
ENSG00000163879	1776	1670	3539	4456
ENSG00000227527	661	661	661	661
ENSG00000116954	1621	1618	2681	5116
ENSG00000163873	3388	1756	9491	10497
ENSG00000117215	2253	2253	2651	2681
ENSG00000230163	720	720	720	720
ENSG00000227538	1133	1133	1133	1133
ENSG00000044012	604	604	604	604
ENSG00000179051	2284	2030	4040	4079
ENSG00000215895	1960	1960	1960	1960
ENSG00000126067	3256	4217	4426	4528
ENSG00000274944	1674	1495	3231	3251
ENSG00000272078	7923	7923	7923	7923
ENSG00000230451	145	145	145	145
ENSG00000231606	976	976	1239	1549
ENSG00000054118	3026	3582	4405	4720
ENSG00000254553	3447	3447	3447	3447
ENSG00000284653	2013	2013	2013	2013
ENSG00000237749	253	253	253	253
ENSG00000276747	2396	2396	2396	2396
ENSG00000228776	454	454	454	454
ENSG00000159339	893	513	2267	2971
ENSG00000261781	2471	2471	2471	2471
ENSG00000158315	1569	1883	2129	2826
ENSG00000186973	475	488	536	843
ENSG00000146463	2565	566	7366	7905
ENSG00000142686	1232	578	2628	3049
ENSG00000224751	1312	1312	1312	1312
